1;1;1;0;3.0
5;5;1;0;9.0
5;5;4;0;7.8
5;5;7;155;9.6
5;5;10;495;14.0
5;5;13;632;17.5
5;5;16;465;18.7
5;5;19;128;16.9
5;5;22;0;13.9
6;5;1;0;11.8
6;5;4;0;11.0
6;5;7;58;11.5
6;5;10;215;14.2
6;5;13;257;15.4
6;5;16;375;16.6
6;5;19;183;17.0
6;5;22;0;14.2
7;5;1;0;9.1
7;5;4;0;5.8
7;5;7;156;7.2
7;5;10;556;11.3
7;5;13;684;14.2
7;5;16;467;14.9
7;5;19;82;12.5
7;5;22;0;9.2
8;5;1;0;6.0
8;5;4;0;4.9
8;5;7;136;6.5
8;5;10;126;7.1
8;5;13;529;9.8
8;5;16;267;11.3
8;5;19;13;10.1
8;5;22;0;7.7
9;5;1;0;3.7
9;5;4;0;0.9
9;5;7;182;2.9
9;5;10;548;7.2
9;5;13;702;10.6
9;5;16;523;11.7
9;5;19;152;9.8
9;5;22;0;6.3
10;5;1;0;3.5
10;5;4;0;2.6
10;5;7;112;3.5
10;5;10;256;6.3
10;5;13;303;7.3
10;5;16;50;6.7
10;5;19;73;4.9
10;5;22;0;4.5
11;5;1;0;3.7
11;5;4;0;3.4
11;5;7;233;6.4
11;5;10;619;12.1
11;5;13;424;14.0
11;5;16;316;13.5
11;5;19;122;11.7
11;5;22;0;8.0
12;5;1;0;3.2
12;5;4;0;0.2
12;5;7;242;2.2
12;5;10;667;6.2
12;5;13;415;7.2
12;5;16;303;6.3
12;5;19;107;4.4
12;5;22;0;1.6
13;5;1;0;-0.2
13;5;4;0;0.0
13;5;7;232;3.3
13;5;10;665;9.7
13;5;13;838;14.7
13;5;16;638;16.5
13;5;19;200;14.3
13;5;22;0;9.5
14;5;1;0;4.2
14;5;4;0;0.9
14;5;7;219;3.3
14;5;10;619;8.1
14;5;13;775;11.7
14;5;16;596;12.8
14;5;19;190;10.8
14;5;22;0;7.1
15;5;1;0;5.1
15;5;4;0;4.9
15;5;7;219;8.1
15;5;10;606;13.7
15;5;13;773;18.2
15;5;16;576;19.8
15;5;19;174;17.7
15;5;22;0;13.1
16;5;1;0;7.7
16;5;4;0;4.3
16;5;7;229;6.9
16;5;10;653;12.1
16;5;13;832;16.1
16;5;16;640;17.4
16;5;19;204;15.3
16;5;22;0;10.6
17;5;1;0;5.7
17;5;4;0;3.5
17;5;7;231;6.4
17;5;10;639;11.7
17;5;13;796;15.7
17;5;16;600;17.0
17;5;19;193;14.9
17;5;22;0;10.7
18;5;1;0;7.2
18;5;4;0;5.7
18;5;7;156;7.6
18;5;10;403;10.8
18;5;13;500;13.1
18;5;16;321;13.5
18;5;19;80;11.7
18;5;22;0;9.6
19;5;1;0;8.3
19;5;4;0;8.5
19;5;7;119;10.2
19;5;10;347;13.2
19;5;13;442;15.9
19;5;16;309;16.7
19;5;19;111;15.6
19;5;22;0;14.3
20;5;1;0;15.1
20;5;4;0;15.7
20;5;7;98;17.5
20;5;10;254;20.8
20;5;13;386;22.8
20;5;16;463;24.8
20;5;19;245;25.4
20;5;22;0;22.1
21;5;1;0;16.8
21;5;4;0;12.9
21;5;7;241;15.6
21;5;10;619;20.1
21;5;13;775;23.5
21;5;16;577;24.5
21;5;19;186;22.4
21;5;22;0;18.0
22;5;1;0;13.4
22;5;4;0;11.5
22;5;7;269;14.6
22;5;10;714;19.7
22;5;13;381;20.8
22;5;16;258;19.4
22;5;19;100;17.3
22;5;22;0;14.7
23;5;1;0;12.3
23;5;4;0;11.3
23;5;7;272;14.9
23;5;10;723;20.8
23;5;13;477;22.7
23;5;16;375;22.3
23;5;19;115;19.8
23;5;22;0;16.1
24;5;1;0;12.4
24;5;4;0;10.7
24;5;7;122;12.1
24;5;10;142;13.4
24;5;13;402;15.8
24;5;16;391;17.4
24;5;19;272;17.6
24;5;22;0;15.3
25;5;1;0;12.7
25;5;4;0;11.4
25;5;7;162;13.5
25;5;10;375;16.4
25;5;13;446;18.4
25;5;16;349;19.0
25;5;19;107;17.6
25;5;22;0;15.4
26;5;1;0;14.0
26;5;4;0;12.7
26;5;7;88;15.3
26;5;10;232;17.2
26;5;13;215;18.1
26;5;16;213;18.6
26;5;19;146;18.7
26;5;22;0;17.3
27;5;1;0;15.7
27;5;4;0;16.2
27;5;7;61;17.4
27;5;10;126;18.6
27;5;13;153;19.5
27;5;16;121;19.7
27;5;19;35;19.2
27;5;22;0;18.2
28;5;1;0;16.8
28;5;4;0;16.2
28;5;7;213;19.0
28;5;10;547;23.3
28;5;13;671;26.4
28;5;16;492;27.5
28;5;19;162;26.3
28;5;22;0;22.5
29;5;1;0;15.7
29;5;4;0;10.4
29;5;7;255;13.1
29;5;10;645;17.3
29;5;13;767;20.2
29;5;16;581;20.9
29;5;19;191;18.7
29;5;22;0;14.4
30;5;1;0;10.5
30;5;4;0;9.6
30;5;7;86;10.8
30;5;10;524;15.0
30;5;13;591;19.4
30;5;16;142;19.1
30;5;19;84;17.3
30;5;22;0;14.9
31;5;1;0;12.3
31;5;4;0;10.4
31;5;7;23;11.3
31;5;10;57;13.0
31;5;13;737;16.9
31;5;16;765;20.1
31;5;19;21;19.5
31;5;22;0;16.6
1;6;1;0;12.0
1;6;4;0;8.9
1;6;7;92;10.0
1;6;10;560;13.6
1;6;13;277;16.4
1;6;16;311;16.6
1;6;19;250;16.7
1;6;22;0;13.8
2;6;1;0;9.7
2;6;4;0;7.4
2;6;7;255;10.3
2;6;10;612;15.0
2;6;13;742;18.8
2;6;16;576;20.3
2;6;19;194;18.8
2;6;22;0;14.7
3;6;1;0;9.4
3;6;4;0;6.2
3;6;7;270;9.4
3;6;10;671;14.6
3;6;13;828;18.9
3;6;16;655;20.6
3;6;19;253;19.3
3;6;22;0;14.4
4;6;1;0;7.9
4;6;4;0;3.9
4;6;7;260;6.6
4;6;10;631;11.1
4;6;13;795;14.8
4;6;16;610;16.2
4;6;19;235;14.8
4;6;22;0;10.8
5;6;1;0;6.7
5;6;4;0;5.0
5;6;7;278;8.2
5;6;10;684;13.6
5;6;13;864;18.0
5;6;16;683;19.9
5;6;19;266;18.6
5;6;22;0;13.8
6;6;1;0;7.8
6;6;4;0;4.2
6;6;7;277;7.4
6;6;10;692;12.6
6;6;13;855;16.9
6;6;16;666;18.6
6;6;19;248;17.1
6;6;22;0;13.3
7;6;1;0;10.5
7;6;4;0;9.7
7;6;7;90;10.5
7;6;10;135;11.8
7;6;13;237;12.8
7;6;16;205;13.7
7;6;19;92;13.6
7;6;22;0;11.9
8;6;1;0;8.1
8;6;4;0;6.3
8;6;7;55;6.8
8;6;10;260;9.3
8;6;13;455;11.7
8;6;16;401;13.2
8;6;19;121;12.6
8;6;22;0;10.8
9;6;1;0;8.7
9;6;4;0;7.4
9;6;7;148;9.1
9;6;10;343;11.8
9;6;13;454;14.2
9;6;16;325;15.0
9;6;19;105;13.9
9;6;22;0;11.3
10;6;1;0;7.3
10;6;4;0;4.6
10;6;7;287;8.0
10;6;10;695;13.3
10;6;13;856;17.6
10;6;16;668;19.3
10;6;19;257;17.8
10;6;22;0;13.5
11;6;1;0;8.9
11;6;4;0;6.4
11;6;7;287;9.7
11;6;10;696;15.1
11;6;13;874;19.5
11;6;16;690;21.3
11;6;19;266;19.8
11;6;22;0;16.0
12;6;1;0;12.1
12;6;4;0;10.4
12;6;7;165;12.5
12;6;10;377;15.7
12;6;13;416;18.0
12;6;16;369;19.2
12;6;19;165;18.4
12;6;22;0;16.2
13;6;1;0;12.7
13;6;4;0;10.8
13;6;7;250;13.7
13;6;10;610;18.5
13;6;13;764;22.3
13;6;16;604;24.0
13;6;19;241;22.8
13;6;22;0;19.4
14;6;1;0;13.3
14;6;4;0;9.6
14;6;7;300;12.9
14;6;10;733;18.3
14;6;13;510;20.4
14;6;16;412;20.3
14;6;19;161;18.3
14;6;22;0;15.3
15;6;1;0;14.2
15;6;4;0;14.7
15;6;7;48;15.3
15;6;10;164;16.5
15;6;13;203;17.7
15;6;16;142;18.2
15;6;19;52;17.6
15;6;22;0;16.7
16;6;1;0;13.4
16;6;4;0;10.6
16;6;7;117;12.2
16;6;10;694;17.4
16;6;13;585;20.2
16;6;16;57;19.0
16;6;19;173;17.4
16;6;22;0;15.4
17;6;1;0;12.2
17;6;4;0;10.0
17;6;7;175;11.7
17;6;10;775;16.5
17;6;13;313;18.0
17;6;16;360;18.7
17;6;19;52;16.9
17;6;22;0;14.5
18;6;1;0;14.4
18;6;4;0;16.8
18;6;7;24;17.0
18;6;10;58;17.6
18;6;13;70;18.0
18;6;16;54;18.0
18;6;19;22;17.8
18;6;22;0;17.8
19;6;1;0;16.2
19;6;4;0;15.2
19;6;7;266;18.1
19;6;10;651;22.6
19;6;13;830;26.5
19;6;16;667;28.4
19;6;19;271;27.6
19;6;22;0;24.9
20;6;1;0;19.5
20;6;4;0;15.1
20;6;7;242;18.0
20;6;10;537;21.9
20;6;13;719;25.2
20;6;16;556;26.7
20;6;19;242;25.8
20;6;22;0;22.7
21;6;1;0;19.2
21;6;4;0;17.5
21;6;7;143;18.9
21;6;10;283;20.9
21;6;13;146;21.8
21;6;16;435;23.3
21;6;19;123;23.2
21;6;22;0;21.7
22;6;1;0;18.4
22;6;4;0;16.5
22;6;7;151;18.4
22;6;10;102;19.2
22;6;13;125;19.6
22;6;16;345;20.8
22;6;19;84;20.6
22;6;22;0;19.4
23;6;1;0;15.9
23;6;4;0;13.7
23;6;7;283;16.8
23;6;10;681;21.9
23;6;13;480;23.9
23;6;16;390;23.9
23;6;19;153;22.1
23;6;22;0;19.3
24;6;1;0;15.7
24;6;4;0;14.1
24;6;7;189;16.6
24;6;10;201;17.8
24;6;13;706;21.2
24;6;16;350;21.8
24;6;19;161;21.3
24;6;22;0;19.5
25;6;1;0;16.5
25;6;4;1;14.9
25;6;7;258;17.7
25;6;10;435;20.6
25;6;13;629;23.4
25;6;16;358;24.6
25;6;19;163;23.6
25;6;22;0;21.1
26;6;1;0;15.8
26;6;4;0;12.6
26;6;7;207;15.1
26;6;10;320;17.9
26;6;13;324;18.8
26;6;16;381;19.5
26;6;19;208;19.6
26;6;22;0;17.7
27;6;1;0;13.8
27;6;4;0;12.1
27;6;7;270;14.0
27;6;10;451;17.7
27;6;13;575;20.4
27;6;16;56;18.1
27;6;19;22;16.5
27;6;22;0;14.9
28;6;1;0;12.9
28;6;4;0;10.7
28;6;7;196;13.3
28;6;10;356;15.8
28;6;13;364;17.6
28;6;16;255;17.6
28;6;19;198;17.8
28;6;22;1;15.9
29;6;1;0;9.6
29;6;4;0;5.8
29;6;7;266;8.9
29;6;10;657;14.0
29;6;13;827;18.1
29;6;16;661;19.9
29;6;19;271;18.6
29;6;22;0;14.9
30;6;1;0;11.4
30;6;4;0;9.7
30;6;7;283;12.9
30;6;10;630;18.3
30;6;13;293;19.0
30;6;16;260;18.4
30;6;19;306;18.3
30;6;22;0;15.6
1;7;1;0;12.0
1;7;4;0;10.8
1;7;7;308;14.3
1;7;10;725;19.8
1;7;13;506;21.6
1;7;16;482;22.4
1;7;19;163;20.6
1;7;22;0;17.3
2;7;1;0;15.2
2;7;4;0;14.8
2;7;7;309;17.5
2;7;10;483;20.7
2;7;13;526;22.7
2;7;16;129;21.4
2;7;19;23;19.9
2;7;22;0;18.3
3;7;1;0;14.7
3;7;4;0;12.0
3;7;7;247;15.0
3;7;10;631;20.2
3;7;13;803;24.6
3;7;16;639;26.5
3;7;19;263;25.3
3;7;22;0;21.6
4;7;1;0;14.7
4;7;4;0;10.7
4;7;7;294;14.0
4;7;10;771;19.6
4;7;13;366;21.0
4;7;16;312;19.9
4;7;19;186;18.4
4;7;22;0;15.8
5;7;1;0;11.8
5;7;4;0;9.9
5;7;7;238;12.8
5;7;10;570;17.6
5;7;13;707;21.3
5;7;16;601;23.1
5;7;19;238;22.1
5;7;22;0;18.7
6;7;1;0;12.4
6;7;4;0;8.5
6;7;7;243;10.7
6;7;10;617;14.8
6;7;13;764;18.1
6;7;16;621;19.3
6;7;19;263;18.1
6;7;22;0;14.7
7;7;1;0;11.7
7;7;4;0;11.4
7;7;7;282;14.6
7;7;10;547;19.4
7;7;13;644;22.3
7;7;16;453;23.1
7;7;19;182;21.6
7;7;22;0;18.5
8;7;1;0;16.5
8;7;4;0;16.1
8;7;7;22;16.8
8;7;10;56;17.4
8;7;13;408;20.4
8;7;16;634;23.6
8;7;19;314;25.1
8;7;22;0;23.6
9;7;1;0;21.1
9;7;4;0;19.3
9;7;7;81;19.9
9;7;10;479;23.3
9;7;13;547;25.6
9;7;16;315;26.3
9;7;19;117;24.5
9;7;22;0;22.7
10;7;1;0;17.7
10;7;4;0;14.6
10;7;7;242;17.5
10;7;10;619;21.9
10;7;13;799;25.3
10;7;16;653;26.6
10;7;19;257;25.0
10;7;22;0;21.3
11;7;1;0;15.6
11;7;4;0;12.9
11;7;7;244;15.8
11;7;10;636;20.4
11;7;13;796;23.9
11;7;16;617;25.0
11;7;19;238;23.3
11;7;22;0;19.0
12;7;1;0;14.6
12;7;4;0;12.6
12;7;7;226;15.4
12;7;10;590;19.8
12;7;13;775;23.4
12;7;16;599;24.7
12;7;19;225;23.1
12;7;22;0;19.3
13;7;1;0;15.6
13;7;4;0;14.0
13;7;7;208;16.7
13;7;10;498;20.5
13;7;13;699;23.6
13;7;16;500;24.7
13;7;19;221;23.5
13;7;22;0;19.4
14;7;1;0;13.6
14;7;4;0;10.2
14;7;7;246;12.5
14;7;10;660;16.4
14;7;13;841;19.5
14;7;16;652;20.3
14;7;19;238;18.4
14;7;22;0;14.2
15;7;1;0;10.3
15;7;4;0;8.9
15;7;7;212;10.8
15;7;10;556;14.2
15;7;13;635;16.4
15;7;16;635;17.4
15;7;19;273;16.2
15;7;22;0;13.3
16;7;1;0;12.4
16;7;4;0;13.5
16;7;7;57;14.5
16;7;10;161;16.2
16;7;13;199;17.5
16;7;16;158;18.0
16;7;19;60;17.4
16;7;22;0;16.4
17;7;1;0;15.0
17;7;4;0;13.6
17;7;7;172;15.7
17;7;10;492;19.3
17;7;13;528;21.8
17;7;16;474;22.7
17;7;19;150;21.3
17;7;22;0;18.7
18;7;1;0;17.1
18;7;4;0;16.6
18;7;7;159;18.9
18;7;10;358;21.2
18;7;13;631;24.5
18;7;16;474;25.9
18;7;19;20;23.9
18;7;22;0;21.4
19;7;1;0;18.5
19;7;4;0;16.6
19;7;7;161;18.4
19;7;10;483;22.1
19;7;13;629;25.2
19;7;16;505;26.2
19;7;19;179;25.1
19;7;22;0;21.1
20;7;1;0;15.4
20;7;4;0;12.1
20;7;7;233;14.5
20;7;10;643;19.0
20;7;13;813;22.4
20;7;16;639;23.6
20;7;19;228;21.7
20;7;22;0;18.3
21;7;1;0;16.8
21;7;4;0;17.1
21;7;7;226;20.0
21;7;10;644;25.4
21;7;13;835;29.7
21;7;16;673;31.6
21;7;19;254;30.3
21;7;22;0;27.1
22;7;1;0;25.1
22;7;4;0;23.8
22;7;7;37;24.1
22;7;10;109;24.6
22;7;13;111;24.8
22;7;16;85;24.6
22;7;19;36;24.0
22;7;22;0;22.4
23;7;1;0;22.1
23;7;4;0;22.1
23;7;7;25;22.3
23;7;10;79;23.1
23;7;13;98;23.7
23;7;16;85;23.9
23;7;19;30;23.6
23;7;22;0;22.7
24;7;1;0;20.6
24;7;4;0;17.8
24;7;7;241;20.0
24;7;10;721;24.5
24;7;13;427;25.9
24;7;16;299;25.2
24;7;19;76;23.0
24;7;22;0;20.1
25;7;1;0;17.1
25;7;4;0;16.0
25;7;7;118;17.7
25;7;10;327;20.7
25;7;13;475;22.9
25;7;16;448;23.9
25;7;19;198;23.9
25;7;22;0;20.9
26;7;1;0;16.9
26;7;4;0;14.6
26;7;7;116;15.6
26;7;10;363;18.2
26;7;13;495;20.0
26;7;16;334;20.6
26;7;19;116;19.3
26;7;22;0;17.4
27;7;1;0;16.1
27;7;4;0;15.8
27;7;7;132;17.6
27;7;10;402;21.0
27;7;13;508;23.5
27;7;16;381;24.7
27;7;19;120;23.5
27;7;22;0;21.3
28;7;1;0;19.8
28;7;4;0;18.4
28;7;7;78;20.0
28;7;10;235;21.7
28;7;13;327;23.4
28;7;16;258;24.0
28;7;19;79;23.3
28;7;22;0;22.1
29;7;1;0;21.6
29;7;4;0;21.9
29;7;7;39;22.5
29;7;10;134;23.7
29;7;13;173;24.8
29;7;16;125;25.1
29;7;19;51;24.3
29;7;22;0;23.6
30;7;1;0;20.9
30;7;4;0;19.8
30;7;7;38;20.1
30;7;10;168;21.1
30;7;13;201;21.7
30;7;16;122;21.9
30;7;19;57;21.5
30;7;22;0;20.1
31;7;1;0;17.5
31;7;4;0;16.1
31;7;7;187;18.2
31;7;10;575;22.9
31;7;13;739;26.6
31;7;16;559;27.9
31;7;19;193;26.4
31;7;22;0;22.1
1;8;1;0;17.0
1;8;4;0;13.0
1;8;7;168;14.9
1;8;10;489;19.0
1;8;13;633;22.2
1;8;16;480;23.3
1;8;19;153;21.5
1;8;22;0;17.5
2;8;1;0;12.7
2;8;4;0;10.4
2;8;7;197;12.7
2;8;10;620;18.4
2;8;13;334;19.6
2;8;16;318;19.1
2;8;19;146;17.5
2;8;22;0;14.1
3;8;1;0;10.6
3;8;4;0;9.4
3;8;7;85;10.5
3;8;10;312;13.3
3;8;13;348;15.7
3;8;16;259;16.0
3;8;19;87;15.1
3;8;22;0;12.4
4;8;1;0;9.0
4;8;4;0;6.8
4;8;7;149;8.2
4;8;10;483;12.0
4;8;13;622;14.9
4;8;16;467;15.8
4;8;19;152;14.1
4;8;22;0;10.9
5;8;1;0;8.6
5;8;4;0;8.3
5;8;7;143;10.3
5;8;10;492;15.5
5;8;13;641;19.6
5;8;16;494;21.3
5;8;19;160;19.8
5;8;22;0;16.2
6;8;1;0;12.8
6;8;4;0;10.9
6;8;7;201;13.3
6;8;10;298;16.2
6;8;13;219;16.4
6;8;16;297;16.6
6;8;19;67;15.8
6;8;22;0;13.0
7;8;1;0;9.0
7;8;4;0;6.9
7;8;7;146;8.4
7;8;10;494;12.6
7;8;13;652;16.0
7;8;16;495;17.1
7;8;19;147;15.4
7;8;22;0;11.9
8;8;1;0;8.7
8;8;4;0;7.6
8;8;7;162;9.7
8;8;10;547;15.2
8;8;13;724;19.7
8;8;16;550;21.5
8;8;19;166;19.6
8;8;22;0;15.5
9;8;1;0;11.8
9;8;4;0;9.7
9;8;7;150;11.6
9;8;10;307;13.7
9;8;13;279;14.9
9;8;16;478;16.2
9;8;19;165;16.0
9;8;22;0;13.3
10;8;1;0;10.2
10;8;4;0;8.7
10;8;7;155;10.6
10;8;10;550;15.9
10;8;13;726;20.4
10;8;16;555;22.0
10;8;19;163;20.1
10;8;22;0;16.8
11;8;1;0;15.3
11;8;4;0;15.2
11;8;7;35;15.8
11;8;10;333;19.6
11;8;13;323;21.6
11;8;16;123;22.0
11;8;19;138;20.6
11;8;22;0;18.7
12;8;1;0;15.9
12;8;4;0;13.9
12;8;7;145;15.5
12;8;10;518;20.3
12;8;13;679;24.2
12;8;16;441;25.5
12;8;19;127;23.5
12;8;22;0;19.8
13;8;1;0;16.3
13;8;4;0;14.6
13;8;7;58;15.1
13;8;10;266;17.3
13;8;13;358;19.5
13;8;16;310;20.4
13;8;19;47;19.6
13;8;22;0;17.5
14;8;1;0;15.6
14;8;4;0;14.8
14;8;7;102;16.3
14;8;10;72;16.7
14;8;13;565;20.3
14;8;16;579;24.5
14;8;19;150;23.5
14;8;22;0;21.2
15;8;1;0;19.6
15;8;4;0;18.3
15;8;7;22;18.2
15;8;10;95;18.5
15;8;13;118;19.0
15;8;16;80;19.0
15;8;19;19;18.4
15;8;22;0;17.0
16;8;1;0;16.5
16;8;4;0;16.0
16;8;7;37;16.4
16;8;10;142;17.8
16;8;13;208;19.0
16;8;16;149;19.3
16;8;19;40;18.6
16;8;22;0;17.4
17;8;1;0;17.6
17;8;4;0;17.5
17;8;7;72;18.1
17;8;10;222;21.1
17;8;13;381;23.5
17;8;16;232;24.2
17;8;19;49;23.2
17;8;22;0;21.3
18;8;1;0;19.5
18;8;4;0;18.2
18;8;7;102;19.3
18;8;10;543;24.6
18;8;13;850;27.1
18;8;16;286;27.0
18;8;19;35;24.3
18;8;22;0;21.9
19;8;1;0;19.8
19;8;4;0;18.7
19;8;7;89;19.8
19;8;10;475;24.0
19;8;13;578;27.6
19;8;16;489;29.1
19;8;19;123;27.5
19;8;22;0;23.7
20;8;1;0;19.6
20;8;4;0;16.6
20;8;7;127;17.5
20;8;10;539;22.3
20;8;13;730;26.0
20;8;16;553;27.1
20;8;19;137;24.8
20;8;22;0;20.6
21;8;1;0;16.9
21;8;4;0;15.3
21;8;7;50;15.5
21;8;10;253;17.6
21;8;13;369;19.5
21;8;16;235;20.0
21;8;19;42;18.8
21;8;22;0;15.7
22;8;1;0;11.9
22;8;4;0;9.3
22;8;7;114;10.1
22;8;10;484;14.5
22;8;13;663;17.8
22;8;16;468;18.5
22;8;19;112;16.3
22;8;22;0;12.9
23;8;1;0;10.1
23;8;4;0;9.0
23;8;7;88;10.0
23;8;10;426;14.3
23;8;13;649;18.2
23;8;16;510;20.0
23;8;19;125;18.1
23;8;22;0;15.6
24;8;1;0;13.9
24;8;4;0;13.3
24;8;7;25;13.6
24;8;10;171;15.4
24;8;13;203;16.6
24;8;16;483;19.4
24;8;19;105;19.3
24;8;22;0;18.0
25;8;1;0;17.1
25;8;4;0;16.4
25;8;7;87;17.6
25;8;10;222;20.6
25;8;13;201;21.6
25;8;16;358;22.2
25;8;19;106;21.9
25;8;22;0;19.2
26;8;1;0;16.4
26;8;4;0;14.6
26;8;7;61;15.0
26;8;10;258;17.1
26;8;13;368;18.7
26;8;16;231;19.0
26;8;19;41;17.7
26;8;22;0;15.7
27;8;1;0;14.0
27;8;4;0;13.2
27;8;7;99;14.4
27;8;10;485;19.5
27;8;13;660;23.6
27;8;16;477;24.9
27;8;19;95;22.7
27;8;22;0;19.2
28;8;1;0;16.1
28;8;4;0;14.0
28;8;7;92;14.7
28;8;10;431;18.7
28;8;13;565;21.6
28;8;16;407;22.4
28;8;19;70;20.4
28;8;22;0;17.1
29;8;1;0;14.1
29;8;4;0;12.4
29;8;7;78;13.0
29;8;10;384;16.6
29;8;13;489;19.1
29;8;16;342;19.7
29;8;19;56;17.8
29;8;22;0;15.8
30;8;1;0;14.5
30;8;4;0;14.2
30;8;7;45;14.8
30;8;10;241;16.3
30;8;13;321;19.1
30;8;16;197;19.6
30;8;19;24;18.3
30;8;22;0;17.1
31;8;1;0;16.2
31;8;4;0;15.6
31;8;7;74;16.6
31;8;10;339;20.6
31;8;13;563;24.1
31;8;16;419;25.4
31;8;19;86;24.0
31;8;22;0;20.2
1;9;1;0;16.5
1;9;4;0;13.3
1;9;7;48;13.4
1;9;10;275;16.3
1;9;13;406;18.1
