1.0;1.0;1.0;0.0;3.0;0
1.0;16.0;14.0;25.0;-9.8;6.2
1.0;16.0;15.0;18.0;-9.6;4.7
1.0;16.0;16.0;8.0;-9.8;0.5
1.0;16.0;17.0;0.0;-10.2;0
1.0;16.0;18.0;0.0;-9.8;0
1.0;16.0;19.0;0.0;-9.5;0
1.0;16.0;20.0;0.0;-9.1;0
1.0;16.0;21.0;0.0;-8.7;0
1.0;16.0;22.0;0.0;-8.3;0
1.0;16.0;23.0;0.0;-8.0;0
1.0;16.0;24.0;0.0;-7.6;0
1.0;17.0;1.0;0.0;-7.8;0
1.0;17.0;2.0;0.0;-8.1;0
1.0;17.0;3.0;0.0;-8.4;0
1.0;17.0;4.0;0.0;-8.5;0
1.0;17.0;5.0;0.0;-8.7;0
1.0;17.0;6.0;0.0;-8.9;0
1.0;17.0;7.0;0.0;-9.0;0
1.0;17.0;8.0;0.0;-9.1;0
1.0;17.0;9.0;0.0;-9.2;0
1.0;17.0;10.0;55.0;-7.7;0
1.0;17.0;11.0;111.0;-6.3;3.4
1.0;17.0;12.0;137.0;-5.2;7.2
1.0;17.0;13.0;85.0;-5.1;6.3
1.0;17.0;14.0;95.0;-5.0;5.5
1.0;17.0;15.0;60.0;-5.4;4.3
1.0;17.0;16.0;5.0;-6.3;0
1.0;17.0;17.0;0.0;-7.0;0
1.0;17.0;18.0;0.0;-6.7;0
1.0;17.0;19.0;0.0;-6.3;0
1.0;17.0;20.0;0.0;-6.0;0
1.0;17.0;21.0;0.0;-5.7;0
1.0;17.0;22.0;0.0;-5.3;0
1.0;17.0;23.0;0.0;-5.0;0
1.0;17.0;24.0;0.0;-4.7;0
1.0;18.0;1.0;0.0;-4.5;0
1.0;18.0;2.0;0.0;-4.4;0
1.0;18.0;3.0;0.0;-4.2;0
1.0;18.0;4.0;0.0;-4.1;0
1.0;18.0;5.0;0.0;-4.1;0
1.0;18.0;6.0;0.0;-4.0;0
1.0;18.0;7.0;0.0;-3.9;0
1.0;18.0;8.0;0.0;-3.9;0
1.0;18.0;9.0;0.0;-3.9;0
1.0;18.0;10.0;10.0;-3.4;0
1.0;18.0;11.0;26.0;-2.8;1
1.0;18.0;12.0;41.0;-2.2;1.8
1.0;18.0;13.0;45.0;-1.8;1.6
1.0;18.0;14.0;40.0;-1.6;1.1
1.0;18.0;15.0;34.0;-1.5;0.7
1.0;18.0;16.0;16.0;-1.7;0
1.0;18.0;17.0;0.0;-2.1;0
1.0;18.0;18.0;0.0;-1.8;0
1.0;18.0;19.0;0.0;-1.5;0
1.0;18.0;20.0;0.0;-1.2;0
1.0;18.0;21.0;0.0;-1.0;0
1.0;18.0;22.0;0.0;-0.7;0
1.0;18.0;23.0;0.0;-0.4;0
1.0;18.0;24.0;0.0;-0.3;0
1.0;19.0;1.0;0.0;-0.1;0
1.0;19.0;2.0;0.0;-0.5;0
1.0;19.0;3.0;0.0;-0.3;0
1.0;19.0;4.0;0.0;-0.1;0
1.0;19.0;5.0;0.0;-0.1;0
1.0;19.0;6.0;0.0;-0.1;0
1.0;19.0;7.0;0.0;-0.1;0
1.0;19.0;8.0;0.0;-0.1;0
1.0;19.0;9.0;0.0;0.0;0
1.0;19.0;10.0;6.0;0.2;0.7
1.0;19.0;11.0;16.0;0.4;4.4
1.0;19.0;12.0;26.0;0.8;3.5
1.0;19.0;13.0;29.0;1.0;4.3
1.0;19.0;14.0;23.0;1.1;3.3
1.0;19.0;15.0;18.0;1.2;0.3
1.0;19.0;16.0;9.0;1.1;0.3
1.0;19.0;17.0;0.0;0.9;0
1.0;19.0;18.0;0.0;0.8;0
1.0;19.0;19.0;0.0;0.7;0
1.0;19.0;20.0;0.0;0.6;0
1.0;19.0;21.0;0.0;0.4;0
1.0;19.0;22.0;0.0;0.3;0
1.0;19.0;23.0;0.0;0.2;0
1.0;19.0;24.0;0.0;0.1;0
1.0;20.0;1.0;0.0;-0.8;0
1.0;20.0;2.0;0.0;-0.8;0
1.0;20.0;3.0;0.0;-1.0;0
1.0;20.0;4.0;0.0;-1.2;0
1.0;20.0;5.0;0.0;-1.4;0
1.0;20.0;6.0;0.0;-1.6;0
1.0;20.0;7.0;0.0;-1.7;0
1.0;20.0;8.0;0.0;-1.9;0
1.0;20.0;9.0;0.0;-1.9;0
1.0;20.0;10.0;6.0;-1.9;0
1.0;20.0;11.0;14.0;-1.9;4.5
1.0;20.0;12.0;21.0;-2.0;6.5
1.0;20.0;13.0;24.0;-2.0;8
1.0;20.0;14.0;24.0;-2.1;6.7
1.0;20.0;15.0;17.0;-2.0;5.1
1.0;20.0;16.0;9.0;-2.2;0
1.0;20.0;17.0;1.0;-2.2;0
1.0;20.0;18.0;0.0;-2.3;0
1.0;20.0;19.0;0.0;-2.5;0
1.0;20.0;20.0;0.0;-2.6;0
1.0;20.0;21.0;0.0;-2.8;0
1.0;20.0;22.0;0.0;-2.9;0
1.0;20.0;23.0;0.0;-3.0;0
1.0;20.0;24.0;0.0;-3.2;0
1.0;21.0;1.0;0.0;-3.2;0
1.0;21.0;2.0;0.0;-3.1;0
1.0;21.0;3.0;0.0;-2.9;0
1.0;21.0;4.0;0.0;-2.8;0
1.0;21.0;5.0;0.0;-2.7;0
1.0;21.0;6.0;0.0;-2.6;0
1.0;21.0;7.0;0.0;-2.5;0
1.0;21.0;8.0;0.0;-2.3;0
1.0;21.0;9.0;0.0;-2.2;0
1.0;21.0;10.0;42.0;-0.9;0
1.0;21.0;11.0;102.0;0.8;0.6
1.0;21.0;12.0;155.0;2.4;1
1.0;21.0;13.0;177.0;3.7;1.2
1.0;21.0;14.0;158.0;3.0;1
1.0;21.0;15.0;104.0;3.0;0.5
1.0;21.0;16.0;53.0;4.0;0
1.0;21.0;17.0;1.0;3.0;0
1.0;21.0;18.0;0.0;2.8;0
1.0;21.0;19.0;0.0;2.6;0
1.0;21.0;20.0;0.0;2.4;0
1.0;21.0;21.0;0.0;2.1;0
1.0;21.0;22.0;0.0;1.9;0
1.0;21.0;23.0;0.0;1.7;0
1.0;21.0;24.0;0.0;1.5;0
1.0;22.0;1.0;0.0;0.8;0
1.0;22.0;2.0;0.0;0.2;0
1.0;22.0;3.0;0.0;-0.3;0
1.0;22.0;4.0;0.0;-0.6;0
1.0;22.0;5.0;0.0;-0.8;0
1.0;22.0;6.0;0.0;-1.1;0
1.0;22.0;7.0;0.0;-1.2;0
1.0;22.0;8.0;0.0;-1.3;0
1.0;22.0;9.0;0.0;-1.3;0
1.0;22.0;10.0;57.0;-0.1;0
1.0;22.0;11.0;127.0;1.1;0
1.0;22.0;12.0;186.0;2.4;0
1.0;22.0;13.0;213.0;3.3;0.5
1.0;22.0;14.0;201.0;3.9;4.6
1.0;22.0;15.0;154.0;3.0;3.6
1.0;22.0;16.0;75.0;3.7;0
1.0;22.0;17.0;2.0;2.9;0
1.0;22.0;18.0;0.0;2.4;0
1.0;22.0;19.0;0.0;1.9;0
1.0;22.0;20.0;0.0;1.4;0
1.0;22.0;21.0;0.0;0.9;0
1.0;22.0;22.0;0.0;0.4;0
1.0;22.0;23.0;0.0;-0.1;0
1.0;22.0;24.0;0.0;-0.7;0
1.0;23.0;1.0;0.0;-1.5;0
1.0;23.0;2.0;0.0;-2.3;0
1.0;23.0;3.0;0.0;-3.1;0
1.0;23.0;4.0;0.0;-3.6;0
1.0;23.0;5.0;0.0;-4.0;0
1.0;23.0;6.0;0.0;-4.4;0
1.0;23.0;7.0;0.0;-4.7;0
1.0;23.0;8.0;0.0;-5.0;0
1.0;23.0;9.0;0.0;-5.0;0
1.0;23.0;10.0;53.0;-3.7;0
1.0;23.0;11.0;120.0;-2.2;0.6
1.0;23.0;12.0;168.0;-0.8;0.8
1.0;23.0;13.0;177.0;0.1;1
1.0;23.0;14.0;173.0;0.6;0.6
1.0;23.0;15.0;132.0;0.7;0
1.0;23.0;16.0;68.0;0.2;0
1.0;23.0;17.0;1.0;-0.9;0
1.0;23.0;18.0;0.0;-1.9;0
1.0;23.0;19.0;0.0;-2.8;0
1.0;23.0;20.0;0.0;-3.8;0
1.0;23.0;21.0;0.0;-4.8;0
1.0;23.0;22.0;0.0;-5.7;0
1.0;23.0;23.0;0.0;-6.7;0
1.0;23.0;24.0;0.0;-7.7;0
1.0;24.0;1.0;0.0;-9.1;0
1.0;24.0;2.0;0.0;-10.7;0
1.0;24.0;3.0;0.0;-12.4;0
1.0;24.0;4.0;0.0;-13.3;0
1.0;24.0;5.0;0.0;-14.2;0
1.0;24.0;6.0;0.0;-15.1;0
1.0;24.0;7.0;0.0;-15.8;0
1.0;24.0;8.0;0.0;-16.5;0
1.0;24.0;9.0;1.0;-16.7;0
1.0;24.0;10.0;67.0;-15.8;0
1.0;24.0;11.0;159.0;-14.7;0.4
1.0;24.0;12.0;165.0;-14.2;0.9
1.0;24.0;13.0;173.0;-13.9;0.9
1.0;24.0;14.0;155.0;-13.9;0.7
1.0;24.0;15.0;86.0;-14.4;0.3
1.0;24.0;16.0;55.0;-15.0;0
1.0;24.0;17.0;2.0;-15.9;0
1.0;24.0;18.0;0.0;-16.1;0
1.0;24.0;19.0;0.0;-16.3;0
1.0;24.0;20.0;0.0;-16.5;0
1.0;24.0;21.0;0.0;-16.7;0
1.0;24.0;22.0;0.0;-16.9;0
1.0;24.0;23.0;0.0;-17.1;0
1.0;24.0;24.0;0.0;-17.3;0
1.0;25.0;1.0;0.0;-16.7;0
1.0;25.0;2.0;0.0;-16.0;0
1.0;25.0;3.0;0.0;-15.5;0
1.0;25.0;4.0;0.0;-15.1;0
1.0;25.0;5.0;0.0;-14.7;0
1.0;25.0;6.0;0.0;-14.3;0
1.0;25.0;7.0;0.0;-14.1;0
1.0;25.0;8.0;0.0;-13.8;0
1.0;25.0;9.0;0.0;-13.7;0
1.0;25.0;10.0;20.0;-12.6;0.3
1.0;25.0;11.0;46.0;-11.3;1.8
1.0;25.0;12.0;62.0;-10.1;2
1.0;25.0;13.0;70.0;-9.3;1.3
1.0;25.0;14.0;65.0;-8.8;2.7
1.0;25.0;15.0;48.0;-8.7;4.9
1.0;25.0;16.0;26.0;-9.1;0
1.0;25.0;17.0;1.0;-9.9;0
1.0;25.0;18.0;0.0;-9.1;0
1.0;25.0;19.0;0.0;-8.2;0
1.0;25.0;20.0;0.0;-7.4;0
1.0;25.0;21.0;0.0;-6.6;0
1.0;25.0;22.0;0.0;-5.8;0
1.0;25.0;23.0;0.0;-5.0;0
1.0;25.0;24.0;0.0;-4.2;0
1.0;26.0;1.0;0.0;-4.3;0
1.0;26.0;2.0;0.0;-4.3;0
1.0;26.0;3.0;0.0;-4.3;0
1.0;26.0;4.0;0.0;-4.2;0
1.0;26.0;5.0;0.0;-4.2;0
1.0;26.0;6.0;0.0;-4.1;0
1.0;26.0;7.0;0.0;-4.0;0
1.0;26.0;8.0;0.0;-4.0;0
1.0;26.0;9.0;1.0;-3.8;0
1.0;26.0;10.0;65.0;-1.9;0.6
1.0;26.0;11.0;127.0;0.0;3.7
1.0;26.0;12.0;194.0;1.9;3.4
1.0;26.0;13.0;216.0;3.4;8.3
1.0;26.0;14.0;194.0;3.0;6.4
1.0;26.0;15.0;182.0;3.0;5.1
1.0;26.0;16.0;99.0;3.0;0
1.0;26.0;17.0;9.0;3.1;0
1.0;26.0;18.0;0.0;2.8;0
1.0;26.0;19.0;0.0;2.5;0
1.0;26.0;20.0;0.0;2.1;0
1.0;26.0;21.0;0.0;1.8;0
1.0;26.0;22.0;0.0;1.4;0
1.0;26.0;23.0;0.0;1.1;0
1.0;26.0;24.0;0.0;0.7;0
1.0;27.0;1.0;0.0;-0.1;0
1.0;27.0;2.0;0.0;-0.9;0
1.0;27.0;3.0;0.0;-1.6;0
1.0;27.0;4.0;0.0;-2.0;0
1.0;27.0;5.0;0.0;-2.4;0
1.0;27.0;6.0;0.0;-2.7;0
1.0;27.0;7.0;0.0;-3.0;0
1.0;27.0;8.0;0.0;-3.2;0
1.0;27.0;9.0;1.0;-3.1;0
1.0;27.0;10.0;71.0;-1.6;0.2
1.0;27.0;11.0;151.0;0.1;0
1.0;27.0;12.0;214.0;1.7;4.8
1.0;27.0;13.0;229.0;2.8;7.5
1.0;27.0;14.0;211.0;3.4;1.6
1.0;27.0;15.0;164.0;3.5;2.1
1.0;27.0;16.0;93.0;3.0;0
1.0;27.0;17.0;5.0;1.9;0
1.0;27.0;18.0;0.0;1.1;0
1.0;27.0;19.0;0.0;0.4;0
1.0;27.0;20.0;0.0;-0.4;0
1.0;27.0;21.0;0.0;-1.2;0
1.0;27.0;22.0;0.0;-2.0;0
1.0;27.0;23.0;0.0;-2.8;0
1.0;27.0;24.0;0.0;-3.6;0
1.0;28.0;1.0;0.0;-4.5;0
1.0;28.0;2.0;0.0;-5.5;0
1.0;28.0;3.0;0.0;-6.6;0
1.0;28.0;4.0;0.0;-7.1;0
1.0;28.0;5.0;0.0;-7.7;0
1.0;28.0;6.0;0.0;-8.3;0
1.0;28.0;7.0;0.0;-8.7;0
1.0;28.0;8.0;0.0;-9.1;0
1.0;28.0;9.0;1.0;-9.2;0
1.0;28.0;10.0;74.0;-7.4;0.4
1.0;28.0;11.0;164.0;-5.3;2.3
1.0;28.0;12.0;224.0;-3.5;7.2
1.0;28.0;13.0;239.0;-2.3;8.1
1.0;28.0;14.0;199.0;-1.9;1.7
1.0;28.0;15.0;161.0;-1.9;0
1.0;28.0;16.0;93.0;-2.7;0
1.0;28.0;17.0;5.0;-4.2;0
1.0;28.0;18.0;0.0;-4.4;0
1.0;28.0;19.0;0.0;-4.7;0
1.0;28.0;20.0;0.0;-4.9;0
1.0;28.0;21.0;0.0;-5.1;0
1.0;28.0;22.0;0.0;-5.3;0
1.0;28.0;23.0;0.0;-5.5;0
1.0;28.0;24.0;0.0;-5.7;0
1.0;29.0;1.0;0.0;-5.5;0
1.0;29.0;2.0;0.0;-5.2;0
1.0;29.0;3.0;0.0;-4.8;0
1.0;29.0;4.0;0.0;-4.6;0
1.0;29.0;5.0;0.0;-4.4;0
1.0;29.0;6.0;0.0;-4.2;0
1.0;29.0;7.0;0.0;-4.1;0
1.0;29.0;8.0;0.0;-3.9;0
1.0;29.0;9.0;1.0;-3.8;0
1.0;29.0;10.0;13.0;-3.1;0
1.0;29.0;11.0;29.0;-2.7;0.6
1.0;29.0;12.0;40.0;-1.7;1.4
1.0;29.0;13.0;45.0;-1.2;1.9
1.0;29.0;14.0;39.0;-0.9;1.7
1.0;29.0;15.0;29.0;-0.9;1.5
1.0;29.0;16.0;17.0;-0.9;0
1.0;29.0;17.0;2.0;-1.3;0
1.0;29.0;18.0;0.0;-1.4;0
1.0;29.0;19.0;0.0;-1.6;0
1.0;29.0;20.0;0.0;-1.7;0
1.0;29.0;21.0;0.0;-1.8;0
1.0;29.0;22.0;0.0;-1.9;0
1.0;29.0;23.0;0.0;-2.0;0
1.0;29.0;24.0;0.0;-2.1;0
1.0;30.0;1.0;0.0;-2.9;0
1.0;30.0;2.0;0.0;-3.7;0
1.0;30.0;3.0;0.0;-4.5;0
1.0;30.0;4.0;0.0;-4.9;0
1.0;30.0;5.0;0.0;-5.4;0
1.0;30.0;6.0;0.0;-5.8;0
1.0;30.0;7.0;0.0;-6.1;0
1.0;30.0;8.0;0.0;-6.5;0
1.0;30.0;9.0;2.0;-6.4;0
1.0;30.0;10.0;73.0;-4.5;0
1.0;30.0;11.0;148.0;-2.5;0.4
1.0;30.0;12.0;215.0;-0.6;0.6
1.0;30.0;13.0;247.0;0.9;0.6
1.0;30.0;14.0;227.0;1.7;0.5
1.0;30.0;15.0;182.0;1.8;0.3
1.0;30.0;16.0;106.0;1.1;0
1.0;30.0;17.0;10.0;-0.5;0
1.0;30.0;18.0;0.0;-0.6;0
1.0;30.0;19.0;0.0;-0.7;0
1.0;30.0;20.0;0.0;-0.8;0
1.0;30.0;21.0;0.0;-0.9;0
1.0;30.0;22.0;0.0;-1.0;0
1.0;30.0;23.0;0.0;-1.1;0
1.0;30.0;24.0;0.0;-1.2;0
1.0;31.0;1.0;0.0;-1.0;0
1.0;31.0;2.0;0.0;-0.7;0
1.0;31.0;3.0;0.0;-0.5;0
1.0;31.0;4.0;0.0;-0.3;0
1.0;31.0;5.0;0.0;-0.1;0
1.0;31.0;6.0;0.0;0.1;0
1.0;31.0;7.0;0.0;0.2;0
1.0;31.0;8.0;0.0;0.3;0
1.0;31.0;9.0;1.0;0.5;0
1.0;31.0;10.0;15.0;1.2;0
1.0;31.0;11.0;30.0;1.9;0.6
1.0;31.0;12.0;42.0;2.6;1.2
1.0;31.0;13.0;48.0;3.1;1.5
1.0;31.0;14.0;44.0;3.5;1.3
1.0;31.0;15.0;36.0;3.6;0.6
1.0;31.0;16.0;19.0;3.4;0
1.0;31.0;17.0;2.0;3.0;0
1.0;31.0;18.0;0.0;2.9;0
1.0;31.0;19.0;0.0;2.7;0
1.0;31.0;20.0;0.0;2.6;0
1.0;31.0;21.0;0.0;2.4;0
1.0;31.0;22.0;0.0;2.0;0
1.0;31.0;23.0;0.0;2.1;0
1.0;31.0;24.0;0.0;2.0;0
